,odid,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10
Zombieland,105270100,0.00877193,0.013157895,0.014619883,0.010233918,0.007309942,0.007309942,0.071637427,0.317251462,0.00877193,0.540935673
Death at a Funeral (2010),105280100,0.080645161,0.096774194,0.080645161,0.096774194,0.080645161,0.096774194,0.080645161,0.080645161,0.112903226,0.193548387
Straw Dogs,105290100,0.086206897,0.155172414,0.086206897,0.120689655,0.086206897,0.086206897,0.086206897,0.086206897,0.103448276,0.103448276
The Smurfs,105300100,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.117647059
Cop Out,105320100,0.070422535,0.084507042,0.070422535,0.098591549,0.098591549,0.070422535,0.154929577,0.070422535,0.084507042,0.197183099
Daybreakers,105360100,0.045454545,0.072727273,0.045454545,0.045454545,0.063636364,0.045454545,0.063636364,0.518181818,0.054545455,0.045454545
The Sorcerer's Apprent,105370100,0.046728972,0.065420561,0.046728972,0.242990654,0.056074766,0.14953271,0.046728972,0.186915888,0.046728972,0.112149533
Ramona and Beezus,105410100,0.122807018,0.122807018,0.122807018,0.087719298,0.087719298,0.087719298,0.087719298,0.087719298,0.087719298,0.105263158
Harry Potter and the D (2011),105420100,0.059360731,0.03652968,0.02283105,0.721461187,0.02283105,0.02739726,0.03196347,0.02739726,0.02739726,0.02283105
Little Fockers,105550100,0.064935065,0.064935065,0.064935065,0.12987013,0.064935065,0.090909091,0.12987013,0.064935065,0.077922078,0.246753247
Ender's Game,106580100,0.106145251,0.061452514,0.033519553,0.167597765,0.469273743,0.039106145,0.027932961,0.033519553,0.027932961,0.033519553
Gulliver's Travels,106790100,0.081967213,0.114754098,0.098360656,0.147540984,0.081967213,0.081967213,0.098360656,0.081967213,0.098360656,0.114754098
Date Night,106810100,0.039370079,0.047244094,0.070866142,0.086614173,0.039370079,0.086614173,0.039370079,0.047244094,0.047244094,0.496062992
The Debt,107060100,0.076923077,0.230769231,0.076923077,0.092307692,0.076923077,0.076923077,0.123076923,0.076923077,0.092307692,0.076923077
Surrogates,107210100,0.159695817,0.02661597,0.019011407,0.02661597,0.330798479,0.041825095,0.106463878,0.25095057,0.019011407,0.019011407
Where the Wild Things,107330100,0.14893617,0.063829787,0.226950355,0.212765957,0.056737589,0.09929078,0.04964539,0.035460993,0.070921986,0.035460993
Fame,107400100,0.098039216,0.098039216,0.098039216,0.117647059,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216
Percy Jackson & the Ol,107550100,0.045454545,0.090909091,0.081818182,0.263636364,0.136363636,0.090909091,0.063636364,0.1,0.054545455,0.072727273
The A-Team,107710100,0.043103448,0.181034483,0.051724138,0.137931034,0.103448276,0.146551724,0.051724138,0.103448276,0.043103448,0.137931034
The Green Hornet,107800100,0.051470588,0.213235294,0.036764706,0.051470588,0.044117647,0.213235294,0.088235294,0.036764706,0.044117647,0.220588235
The Twilight Saga: New,107880100,0.050847458,0.050847458,0.042372881,0.059322034,0.042372881,0.042372881,0.042372881,0.559322034,0.059322034,0.050847458
Despicable Me,107900100,0.020833333,0.029166667,0.6,0.025,0.025,0.05,0.033333333,0.0375,0.020833333,0.158333333
Shutter Island,107950100,0.923155738,0.009221311,0.005122951,0.005122951,0.009221311,0.006147541,0.013319672,0.013319672,0.005122951,0.010245902
The Crazies,107980100,0.068181818,0.136363636,0.056818182,0.079545455,0.056818182,0.056818182,0.068181818,0.352272727,0.056818182,0.068181818
The Last Airbender,108070100,0.03649635,0.072992701,0.072992701,0.408759124,0.175182482,0.051094891,0.03649635,0.058394161,0.03649635,0.051094891
The Stepfather,108370100,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.117647059,0.098039216,0.098039216,0.098039216
The Wolfman,108740100,0.053191489,0.138297872,0.063829787,0.053191489,0.127659574,0.212765957,0.053191489,0.170212766,0.074468085,0.053191489
Transformers: Dark of,108970100,0.04109589,0.116438356,0.04109589,0.04109589,0.547945205,0.054794521,0.04109589,0.047945205,0.034246575,0.034246575
Salt,109080100,0.023809524,0.7,0.023809524,0.028571429,0.023809524,0.028571429,0.033333333,0.09047619,0.023809524,0.023809524
Thor,109130100,0.016304348,0.013586957,0.046195652,0.019021739,0.027173913,0.793478261,0.019021739,0.013586957,0.032608696,0.019021739
Couples Retreat,109340100,0.081967213,0.081967213,0.098360656,0.081967213,0.081967213,0.081967213,0.081967213,0.081967213,0.147540984,0.180327869
Cirque du Freak: The V,109380100,0.081967213,0.081967213,0.081967213,0.098360656,0.098360656,0.098360656,0.081967213,0.180327869,0.098360656,0.098360656
Sucker Punch,109460100,0.318181818,0.126262626,0.045454545,0.035353535,0.101010101,0.247474747,0.04040404,0.025252525,0.025252525,0.035353535
Saw VI,109520100,0.09375,0.125,0.078125,0.125,0.078125,0.078125,0.15625,0.078125,0.09375,0.09375
The Twilight Saga: Ecl,109670100,0.046296296,0.046296296,0.101851852,0.138888889,0.064814815,0.046296296,0.064814815,0.333333333,0.101851852,0.055555556
Did You Hear About the,109690100,0.072463768,0.072463768,0.072463768,0.072463768,0.072463768,0.086956522,0.072463768,0.115942029,0.289855072,0.072463768
Green Lantern,109700100,0.03875969,0.046511628,0.085271318,0.069767442,0.162790698,0.418604651,0.046511628,0.03875969,0.046511628,0.046511628
Jonah Hex,109710100,0.064102564,0.115384615,0.064102564,0.102564103,0.141025641,0.076923077,0.205128205,0.064102564,0.102564103,0.064102564
The Men Who Stare at G,109740100,0.037313433,0.052238806,0.037313433,0.149253731,0.052238806,0.208955224,0.149253731,0.052238806,0.037313433,0.223880597
The Expendables,109820100,0.024291498,0.647773279,0.020242915,0.028340081,0.024291498,0.024291498,0.165991903,0.024291498,0.020242915,0.020242915
Red Tails,109930100,0.087719298,0.087719298,0.105263158,0.105263158,0.140350877,0.087719298,0.122807018,0.087719298,0.087719298,0.087719298
Bandidas,110030100,0.089552239,0.074626866,0.119402985,0.089552239,0.089552239,0.074626866,0.194029851,0.074626866,0.104477612,0.089552239
Tron: Legacy,110130100,0.151595745,0.015957447,0.031914894,0.015957447,0.292553191,0.388297872,0.02393617,0.037234043,0.015957447,0.026595745
Secretariat,110150100,0.073529412,0.147058824,0.161764706,0.088235294,0.073529412,0.073529412,0.073529412,0.073529412,0.161764706,0.073529412
You Again,110160100,0.083333333,0.083333333,0.083333333,0.1,0.083333333,0.116666667,0.083333333,0.1,0.083333333,0.183333333
The Alibi,110300100,0.087719298,0.122807018,0.087719298,0.105263158,0.087719298,0.087719298,0.087719298,0.105263158,0.122807018,0.105263158
Tangled,110410100,0.06557377,0.038251366,0.551912568,0.131147541,0.038251366,0.043715847,0.049180328,0.027322404,0.027322404,0.027322404
Splice,110740100,0.043478261,0.147826087,0.060869565,0.052173913,0.269565217,0.052173913,0.182608696,0.086956522,0.043478261,0.060869565
The Losers,110770100,0.073529412,0.102941176,0.073529412,0.088235294,0.117647059,0.205882353,0.073529412,0.073529412,0.073529412,0.117647059
MacGruber,110840100,0.068493151,0.095890411,0.082191781,0.082191781,0.068493151,0.095890411,0.068493151,0.068493151,0.068493151,0.301369863
A Nightmare on Elm Str,110860100,0.107692308,0.076923077,0.076923077,0.169230769,0.092307692,0.107692308,0.123076923,0.092307692,0.076923077,0.076923077
Zookeeper,110870100,0.096153846,0.096153846,0.134615385,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846
Our Family Wedding,110890100,0.098039216,0.098039216,0.117647059,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216
Going the Distance,111060100,0.095238095,0.095238095,0.079365079,0.111111111,0.079365079,0.126984127,0.079365079,0.079365079,0.142857143,0.111111111
Marmaduke,111070100,0.094339623,0.094339623,0.132075472,0.113207547,0.094339623,0.094339623,0.094339623,0.094339623,0.094339623,0.094339623
Life as We Know It,111080100,0.077922078,0.064935065,0.181818182,0.077922078,0.077922078,0.077922078,0.064935065,0.077922078,0.194805195,0.103896104
The Hangover Part II,111140100,0.060240964,0.060240964,0.060240964,0.072289157,0.060240964,0.084337349,0.072289157,0.13253012,0.072289157,0.325301205
Due Date,111170100,0.037313433,0.067164179,0.044776119,0.044776119,0.067164179,0.179104478,0.052238806,0.037313433,0.044776119,0.425373134
Remember Me,111180100,0.05952381,0.05952381,0.083333333,0.05952381,0.05952381,0.05952381,0.05952381,0.214285714,0.285714286,0.05952381
She's Out of My League,111280100,0.073529412,0.073529412,0.161764706,0.073529412,0.088235294,0.073529412,0.073529412,0.132352941,0.132352941,0.117647059
Season of the Witch,111290100,0.121212121,0.075757576,0.075757576,0.075757576,0.121212121,0.090909091,0.075757576,0.212121212,0.075757576,0.075757576
Shrek Forever After,111460100,0.070422535,0.126760563,0.197183099,0.169014085,0.084507042,0.070422535,0.070422535,0.070422535,0.070422535,0.070422535
Toy Story 3D Double Fe,111560100,0.013384321,0.009560229,0.843212237,0.021032505,0.034416826,0.011472275,0.009560229,0.009560229,0.013384321,0.034416826
Resident Evil: Afterli,111610100,0.04,0.096,0.08,0.04,0.168,0.048,0.04,0.408,0.04,0.04
Priest,111630100,0.075268817,0.064516129,0.064516129,0.053763441,0.11827957,0.172043011,0.075268817,0.268817204,0.053763441,0.053763441
Your Highness,111670100,0.075757576,0.121212121,0.075757576,0.181818182,0.075757576,0.075757576,0.075757576,0.075757576,0.075757576,0.166666667
The Roommate,111680100,0.107142857,0.107142857,0.107142857,0.089285714,0.107142857,0.107142857,0.089285714,0.089285714,0.089285714,0.107142857
Burlesque,111700100,0.088235294,0.073529412,0.117647059,0.088235294,0.073529412,0.073529412,0.147058824,0.176470588,0.073529412,0.088235294
Letters to Juliet,111850100,0.050505051,0.070707071,0.131313131,0.070707071,0.050505051,0.060606061,0.060606061,0.131313131,0.262626263,0.111111111
The Karate Kid,111860100,0.084337349,0.120481928,0.192771084,0.144578313,0.072289157,0.096385542,0.060240964,0.060240964,0.108433735,0.060240964
Get Him to the Greek,111870100,0.056818182,0.068181818,0.056818182,0.079545455,0.079545455,0.090909091,0.079545455,0.079545455,0.056818182,0.352272727
Morning Glory,111880100,0.064102564,0.166666667,0.102564103,0.076923077,0.217948718,0.064102564,0.064102564,0.102564103,0.076923077,0.064102564
Repo Men,111950100,0.161290323,0.139784946,0.064516129,0.053763441,0.064516129,0.064516129,0.215053763,0.064516129,0.107526882,0.064516129
Michael Jackson's This,112100100,0.092592593,0.092592593,0.111111111,0.092592593,0.111111111,0.092592593,0.111111111,0.111111111,0.092592593,0.092592593
Brothers,112190100,0.142857143,0.085714286,0.071428571,0.214285714,0.071428571,0.071428571,0.1,0.085714286,0.085714286,0.071428571
Brooklyn's Finest,112250100,0.070422535,0.098591549,0.126760563,0.126760563,0.070422535,0.098591549,0.098591549,0.098591549,0.126760563,0.084507042
The Blind Side,112310100,0.028301887,0.023584906,0.103773585,0.037735849,0.028301887,0.033018868,0.028301887,0.028301887,0.66509434,0.023584906
The Back-up Plan,112340100,0.090909091,0.090909091,0.109090909,0.090909091,0.090909091,0.109090909,0.090909091,0.090909091,0.127272727,0.109090909
The Spy Next Door,112360100,0.084745763,0.118644068,0.118644068,0.101694915,0.118644068,0.084745763,0.084745763,0.084745763,0.118644068,0.084745763
The Last Song,112430100,0.080645161,0.080645161,0.112903226,0.112903226,0.080645161,0.080645161,0.080645161,0.14516129,0.096774194,0.129032258
Battleship,112540100,0.035460993,0.078014184,0.035460993,0.092198582,0.531914894,0.070921986,0.035460993,0.042553191,0.035460993,0.042553191
Transylmania,112580100,0.094339623,0.094339623,0.094339623,0.094339623,0.094339623,0.094339623,0.094339623,0.113207547,0.094339623,0.132075472
From Paris With Love,113330100,0.060240964,0.13253012,0.265060241,0.060240964,0.060240964,0.072289157,0.084337349,0.072289157,0.072289157,0.120481928
Madagascar 3: Europe's,113780100,0.072463768,0.101449275,0.260869565,0.086956522,0.072463768,0.101449275,0.072463768,0.086956522,0.072463768,0.072463768
Puss in Boots,114060100,0.113402062,0.06185567,0.268041237,0.12371134,0.06185567,0.082474227,0.072164948,0.051546392,0.051546392,0.113402062
The Invention of Lying,114230100,0.037313433,0.037313433,0.037313433,0.052238806,0.037313433,0.037313433,0.037313433,0.149253731,0.037313433,0.537313433
Footloose,114270100,0.083333333,0.083333333,0.1,0.133333333,0.083333333,0.083333333,0.083333333,0.15,0.1,0.1
Hotel Transylvania,114290100,0.060240964,0.060240964,0.253012048,0.084337349,0.108433735,0.072289157,0.060240964,0.096385542,0.060240964,0.144578313
Rio,114300100,0.060869565,0.052173913,0.426086957,0.104347826,0.060869565,0.052173913,0.052173913,0.043478261,0.043478261,0.104347826
Red Dawn,114370100,0.086206897,0.120689655,0.086206897,0.086206897,0.103448276,0.120689655,0.086206897,0.137931034,0.086206897,0.086206897
Law Abiding Citizen,114440100,0.044585987,0.165605096,0.031847134,0.038216561,0.038216561,0.089171975,0.47133758,0.057324841,0.031847134,0.031847134
Beastly,114810100,0.092592593,0.092592593,0.092592593,0.092592593,0.092592593,0.092592593,0.111111111,0.111111111,0.111111111,0.111111111
Pandorum,115070100,0.098113208,0.033962264,0.018867925,0.018867925,0.350943396,0.018867925,0.018867925,0.403773585,0.018867925,0.018867925
Grown Ups,115100100,0.071428571,0.071428571,0.114285714,0.1,0.1,0.085714286,0.071428571,0.071428571,0.085714286,0.228571429
Dinner for Schmucks,115110100,0.063291139,0.075949367,0.075949367,0.126582278,0.063291139,0.075949367,0.063291139,0.063291139,0.075949367,0.316455696
The Fourth Kind,115320100,0.092783505,0.051546392,0.051546392,0.051546392,0.257731959,0.06185567,0.051546392,0.226804124,0.103092784,0.051546392
Hot Tub Time Machine,115330100,0.138613861,0.059405941,0.04950495,0.04950495,0.158415842,0.108910891,0.059405941,0.118811881,0.089108911,0.168316832
The Box,115470100,0.2,0.1,0.0625,0.1125,0.0625,0.1125,0.0625,0.125,0.075,0.0875
Alice in Wonderland,115700100,0.084210526,0.013157895,0.155263158,0.218421053,0.026315789,0.015789474,0.442105263,0.018421053,0.013157895,0.013157895
The Tooth Fairy,115710100,0.081967213,0.098360656,0.098360656,0.114754098,0.081967213,0.114754098,0.131147541,0.098360656,0.081967213,0.098360656
Whip It,116050100,0.217741935,0.040322581,0.129032258,0.088709677,0.040322581,0.048387097,0.056451613,0.048387097,0.201612903,0.129032258
Scanners,116100100,0.090909091,0.109090909,0.109090909,0.109090909,0.109090909,0.090909091,0.109090909,0.090909091,0.090909091,0.090909091
Invictus,116120100,0.165137615,0.082568807,0.04587156,0.091743119,0.091743119,0.04587156,0.04587156,0.04587156,0.339449541,0.04587156
Disney's A Christmas C,116220100,0.084507042,0.070422535,0.126760563,0.126760563,0.070422535,0.084507042,0.084507042,0.183098592,0.098591549,0.070422535
Edge of Darkness,116240100,0.078125,0.25,0.078125,0.078125,0.078125,0.09375,0.078125,0.09375,0.078125,0.09375
Ninja Assassin,116560100,0.072164948,0.432989691,0.051546392,0.051546392,0.051546392,0.051546392,0.113402062,0.072164948,0.051546392,0.051546392
How to Train Your Drag (2010),116630100,0.021164021,0.047619048,0.677248677,0.14021164,0.021164021,0.018518519,0.015873016,0.015873016,0.015873016,0.026455026
It's Complicated,116790100,0.081967213,0.098360656,0.180327869,0.081967213,0.081967213,0.081967213,0.081967213,0.114754098,0.081967213,0.114754098
Robin Hood,117590100,0.076190476,0.095238095,0.076190476,0.152380952,0.076190476,0.047619048,0.057142857,0.057142857,0.295238095,0.066666667
The Road,117920100,0.022435897,0.016025641,0.025641026,0.032051282,0.019230769,0.032051282,0.022435897,0.791666667,0.019230769,0.019230769
Iron Man 2,117940100,0.012106538,0.026634383,0.012106538,0.012106538,0.06779661,0.81598063,0.014527845,0.014527845,0.012106538,0.012106538
The Avengers,117960100,0.011538462,0.014102564,0.006410256,0.007692308,0.029487179,0.896153846,0.006410256,0.008974359,0.007692308,0.011538462
Town Creek,118170100,0.094339623,0.094339623,0.094339623,0.094339623,0.094339623,0.113207547,0.113207547,0.113207547,0.094339623,0.094339623
The Cabin in the Woods,118220100,0.048034934,0.021834061,0.010917031,0.010917031,0.017467249,0.015283843,0.024017467,0.052401747,0.015283843,0.783842795
Gnomeo and Juliet,118260100,0.087719298,0.087719298,0.157894737,0.122807018,0.087719298,0.087719298,0.087719298,0.087719298,0.105263158,0.087719298
Life of Pi,118330100,0.313253012,0.024096386,0.171686747,0.030120482,0.021084337,0.015060241,0.021084337,0.337349398,0.045180723,0.021084337
Legend of the Guardian,118350100,0.063636364,0.063636364,0.336363636,0.109090909,0.072727273,0.118181818,0.045454545,0.090909091,0.054545455,0.045454545
Cowboys and Aliens,118940100,0.035714286,0.221428571,0.05,0.071428571,0.292857143,0.05,0.157142857,0.042857143,0.042857143,0.035714286
Harry Potter and the D (2010),119340100,0.02166065,0.02166065,0.032490975,0.790613718,0.018050542,0.02166065,0.025270758,0.032490975,0.018050542,0.018050542
Piranha 3D,119680100,0.069444444,0.083333333,0.138888889,0.097222222,0.097222222,0.069444444,0.138888889,0.097222222,0.069444444,0.138888889
RoboCop,119960100,0.055555556,0.066666667,0.055555556,0.244444444,0.244444444,0.077777778,0.055555556,0.066666667,0.066666667,0.066666667
Toy Story 3,120120100,0.077966102,0.050847458,0.637288136,0.027118644,0.020338983,0.050847458,0.06440678,0.020338983,0.027118644,0.023728814
Youth in Revolt,120330100,0.06097561,0.06097561,0.12195122,0.097560976,0.06097561,0.146341463,0.073170732,0.06097561,0.085365854,0.231707317
Case 39,120400100,0.098039216,0.098039216,0.098039216,0.117647059,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216
Cats & Dogs: The Reven,120660100,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.117647059,0.098039216,0.098039216
Planet 51,120740100,0.086956522,0.086956522,0.130434783,0.072463768,0.202898551,0.072463768,0.072463768,0.086956522,0.072463768,0.115942029
Green Zone,121300100,0.040983607,0.385245902,0.040983607,0.081967213,0.12295082,0.049180328,0.049180328,0.040983607,0.131147541,0.057377049
The Chronicles of Narn (2010),121310100,0.13,0.06,0.22,0.24,0.05,0.08,0.05,0.06,0.05,0.06
Crazy on the Outside,121340100,0.094339623,0.113207547,0.094339623,0.094339623,0.113207547,0.094339623,0.094339623,0.113207547,0.094339623,0.094339623
Kick-Ass,121460100,0.026634383,0.014527845,0.014527845,0.01937046,0.026634383,0.578692494,0.121065375,0.012106538,0.016949153,0.169491525
Unstoppable,121650100,0.088607595,0.139240506,0.075949367,0.063291139,0.101265823,0.075949367,0.063291139,0.088607595,0.202531646,0.101265823
When in Rome,121680100,0.086206897,0.086206897,0.086206897,0.086206897,0.086206897,0.086206897,0.086206897,0.086206897,0.137931034,0.172413793
The Book of Eli,121730100,0.14254386,0.013157895,0.010964912,0.013157895,0.024122807,0.021929825,0.013157895,0.728070175,0.019736842,0.013157895
Clash of the Titans,121810100,0.055214724,0.085889571,0.042944785,0.447852761,0.153374233,0.067484663,0.036809816,0.036809816,0.036809816,0.036809816
Prince of Persia: Sand,121880100,0.160839161,0.090909091,0.055944056,0.321678322,0.111888112,0.104895105,0.048951049,0.034965035,0.034965035,0.034965035
Avatar,122040100,0.019064125,0.006065858,0.014731369,0.017331023,0.894280763,0.00779896,0.017331023,0.006932409,0.009532062,0.006932409
Takers,122480100,0.115384615,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.115384615,0.096153846
Kung Fu Panda 2,122570100,0.083333333,0.083333333,0.345238095,0.071428571,0.05952381,0.05952381,0.071428571,0.095238095,0.05952381,0.071428571
Old Dogs,122820100,0.081967213,0.081967213,0.131147541,0.081967213,0.081967213,0.081967213,0.114754098,0.081967213,0.131147541,0.131147541
Hugo,123090100,0.253424658,0.037671233,0.280821918,0.089041096,0.065068493,0.023972603,0.047945205,0.030821918,0.078767123,0.092465753
The Boat That Rocked,123120100,0.045454545,0.051136364,0.079545455,0.210227273,0.039772727,0.079545455,0.039772727,0.045454545,0.375,0.034090909
Sin City: A Dame to Ki,123940100,0.066037736,0.047169811,0.047169811,0.047169811,0.047169811,0.301886792,0.20754717,0.075471698,0.103773585,0.056603774
Hoodwinked Too: Hood v,124050100,0.094339623,0.094339623,0.113207547,0.113207547,0.094339623,0.113207547,0.094339623,0.094339623,0.094339623,0.094339623
Cars 2,124080100,0.093333333,0.173333333,0.186666667,0.066666667,0.066666667,0.08,0.066666667,0.066666667,0.066666667,0.133333333
Brave,124130100,0.034246575,0.047945205,0.582191781,0.054794521,0.047945205,0.075342466,0.034246575,0.054794521,0.034246575,0.034246575
We're the Millers,124140100,0.0625,0.0625,0.0875,0.0625,0.0625,0.1,0.0625,0.0625,0.225,0.2125
Captain America: The F,124300100,0.020746888,0.041493776,0.024896266,0.029045643,0.024896266,0.680497925,0.091286307,0.041493776,0.024896266,0.020746888
Wall Street 2: Money N,124670100,0.138461538,0.092307692,0.076923077,0.076923077,0.153846154,0.076923077,0.107692308,0.076923077,0.076923077,0.123076923
Man of Steel,125160100,0.141414141,0.03030303,0.03030303,0.04040404,0.101010101,0.53030303,0.035353535,0.03030303,0.035353535,0.025252525
Rango,125350100,0.035460993,0.035460993,0.226950355,0.04964539,0.035460993,0.035460993,0.453900709,0.042553191,0.035460993,0.04964539
Astro Boy,125850100,0.092592593,0.092592593,0.111111111,0.092592593,0.12962963,0.092592593,0.092592593,0.111111111,0.092592593,0.092592593
Dear John,125870100,0.09375,0.078125,0.078125,0.078125,0.078125,0.078125,0.078125,0.21875,0.140625,0.078125
Legion,125900100,0.0625,0.1,0.0625,0.1,0.0625,0.075,0.0625,0.35,0.0625,0.0625
The Amazing Spider-Man (2012),125920100,0.026086957,0.039130435,0.039130435,0.043478261,0.034782609,0.565217391,0.026086957,0.02173913,0.02173913,0.182608696
The Hobbit: The Desola,126210100,0.025531915,0.034042553,0.05106383,0.719148936,0.021276596,0.034042553,0.042553191,0.029787234,0.021276596,0.021276596
The Lone Ranger,126310100,0.081632653,0.051020408,0.102040816,0.081632653,0.132653061,0.051020408,0.295918367,0.081632653,0.051020408,0.071428571
The Hobbit: An Unexpec,126540100,0.015968064,0.011976048,0.017964072,0.850299401,0.023952096,0.025948104,0.011976048,0.011976048,0.00998004,0.01996008
Sherlock Holmes,126600100,0.042918455,0.721030043,0.034334764,0.038626609,0.012875536,0.055793991,0.027896996,0.021459227,0.010729614,0.034334764
Pirates of the Caribbe (2011),126650100,0.047619048,0.055555556,0.103174603,0.126984127,0.079365079,0.071428571,0.349206349,0.03968254,0.071428571,0.055555556
Furry Vengeance,126680100,0.092592593,0.111111111,0.092592593,0.092592593,0.092592593,0.092592593,0.092592593,0.092592593,0.092592593,0.148148148
The Town,126690100,0.067307692,0.048076923,0.028846154,0.182692308,0.081730769,0.038461538,0.033653846,0.024038462,0.451923077,0.043269231
Knight and Day,128670100,0.035294118,0.605882353,0.052941176,0.070588235,0.052941176,0.041176471,0.035294118,0.035294118,0.029411765,0.041176471
The Other Guys,128770100,0.03649635,0.058394161,0.03649635,0.306569343,0.03649635,0.233576642,0.051094891,0.065693431,0.03649635,0.138686131
The Croods,128830100,0.079365079,0.079365079,0.253968254,0.095238095,0.079365079,0.079365079,0.079365079,0.079365079,0.079365079,0.095238095
Rise of the Guardians,128880100,0.058823529,0.105882353,0.211764706,0.129411765,0.129411765,0.082352941,0.094117647,0.070588235,0.058823529,0.058823529
Extraordinary Measures,128920100,0.092592593,0.092592593,0.092592593,0.092592593,0.166666667,0.092592593,0.092592593,0.092592593,0.092592593,0.092592593
Diary of a Wimpy Kid,128940100,0.092592593,0.092592593,0.092592593,0.148148148,0.092592593,0.092592593,0.092592593,0.092592593,0.111111111,0.092592593
Predators,128960100,0.056603774,0.094339623,0.047169811,0.047169811,0.5,0.047169811,0.056603774,0.056603774,0.047169811,0.047169811
Yogi Bear,129110100,0.090909091,0.090909091,0.145454545,0.090909091,0.090909091,0.109090909,0.090909091,0.090909091,0.090909091,0.109090909
Underworld: Awakening,129120100,0.104477612,0.089552239,0.089552239,0.104477612,0.074626866,0.074626866,0.089552239,0.223880597,0.074626866,0.074626866
Happy Feet Two,129160100,0.089285714,0.107142857,0.142857143,0.089285714,0.089285714,0.125,0.089285714,0.089285714,0.089285714,0.089285714
Arthur Christmas,129170100,0.090909091,0.090909091,0.109090909,0.090909091,0.090909091,0.090909091,0.090909091,0.163636364,0.090909091,0.090909091
Battle: Los Angeles,129190100,0.030487805,0.054878049,0.030487805,0.030487805,0.634146341,0.036585366,0.030487805,0.091463415,0.030487805,0.030487805
Step Up 3D,129200100,0.094339623,0.113207547,0.113207547,0.113207547,0.094339623,0.094339623,0.094339623,0.094339623,0.094339623,0.094339623
The American,129750100,0.138461538,0.169230769,0.038461538,0.053846154,0.046153846,0.061538462,0.046153846,0.046153846,0.138461538,0.261538462
300,129760100,0.029982363,0.548500882,0.008818342,0.015873016,0.014109347,0.32627866,0.014109347,0.012345679,0.012345679,0.017636684
American Gangster,129820100,0.019305019,0.030888031,0.019305019,0.131274131,0.019305019,0.019305019,0.030888031,0.034749035,0.598455598,0.096525097
"10,000 B.C.",129860100,0.094594595,0.148648649,0.081081081,0.135135135,0.067567568,0.081081081,0.067567568,0.121621622,0.121621622,0.081081081
21,129900100,0.046875,0.3671875,0.046875,0.078125,0.046875,0.0390625,0.0390625,0.046875,0.171875,0.1171875
27 Dresses,129930100,0.03968254,0.047619048,0.03968254,0.03968254,0.047619048,0.047619048,0.03968254,0.134920635,0.507936508,0.055555556
1408,129960100,0.071005917,0.047337278,0.029585799,0.082840237,0.035502959,0.041420118,0.100591716,0.514792899,0.041420118,0.035502959
3:10 to Yuma,130050100,0.218045113,0.052631579,0.060150376,0.067669173,0.067669173,0.045112782,0.157894737,0.045112782,0.240601504,0.045112782
Apocalypto,130090100,0.168181818,0.336363636,0.027272727,0.054545455,0.040909091,0.027272727,0.113636364,0.086363636,0.109090909,0.036363636
Are We Done Yet?,130100100,0.098039216,0.098039216,0.117647059,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216
30 Days of Night,130150100,0.054347826,0.108695652,0.054347826,0.086956522,0.054347826,0.065217391,0.065217391,0.358695652,0.076086957,0.076086957
16 Blocks,130180100,0.078125,0.078125,0.078125,0.15625,0.078125,0.078125,0.203125,0.078125,0.09375,0.078125
28 Weeks Later,130270100,0.035460993,0.04964539,0.035460993,0.063829787,0.056737589,0.070921986,0.070921986,0.531914894,0.035460993,0.04964539
The Ant Bully,130300100,0.090909091,0.109090909,0.145454545,0.109090909,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091
Aquamarine,130540100,0.096153846,0.096153846,0.115384615,0.115384615,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846
Adventureland,130580100,0.031847134,0.031847134,0.108280255,0.031847134,0.031847134,0.165605096,0.038216561,0.191082803,0.044585987,0.324840764
Alpha Dog,130620100,0.071428571,0.071428571,0.071428571,0.1,0.071428571,0.071428571,0.114285714,0.071428571,0.185714286,0.171428571
12 Rounds,130680100,0.1,0.083333333,0.083333333,0.15,0.1,0.1,0.083333333,0.083333333,0.116666667,0.1
American Dreamz,130880100,0.078125,0.125,0.078125,0.078125,0.078125,0.078125,0.078125,0.078125,0.15625,0.171875
An American Carol,130920100,0.086206897,0.086206897,0.086206897,0.103448276,0.086206897,0.086206897,0.086206897,0.103448276,0.155172414,0.120689655
Aqua Teen Hunger Force,131040100,0.081967213,0.081967213,0.098360656,0.098360656,0.081967213,0.114754098,0.131147541,0.081967213,0.081967213,0.147540984
The Adventures of Tint,133010100,0.024154589,0.1352657,0.207729469,0.115942029,0.125603865,0.115942029,0.072463768,0.024154589,0.154589372,0.024154589
