,odid,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10
License to Wed,12680100,0.084745763,0.084745763,0.13559322,0.084745763,0.084745763,0.101694915,0.084745763,0.084745763,0.101694915,0.152542373
Underdog,12690100,0.103448276,0.103448276,0.137931034,0.103448276,0.086206897,0.103448276,0.086206897,0.103448276,0.086206897,0.086206897
We Are Marshall,12750100,0.075757576,0.090909091,0.075757576,0.075757576,0.075757576,0.075757576,0.075757576,0.075757576,0.287878788,0.090909091
Year One,12790100,0.063157895,0.147368421,0.052631579,0.052631579,0.073684211,0.073684211,0.052631579,0.136842105,0.073684211,0.273684211
No Reservations,12850100,0.080645161,0.096774194,0.129032258,0.14516129,0.080645161,0.080645161,0.096774194,0.080645161,0.080645161,0.129032258
Rambo,12970100,0.063157895,0.273684211,0.052631579,0.052631579,0.084210526,0.052631579,0.242105263,0.052631579,0.073684211,0.052631579
Because I Said So,13000100,0.092592593,0.092592593,0.092592593,0.092592593,0.092592593,0.111111111,0.092592593,0.092592593,0.12962963,0.111111111
The Unborn,13010100,0.117647059,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216
Glory Road,13030100,0.065789474,0.065789474,0.105263158,0.078947368,0.065789474,0.065789474,0.065789474,0.065789474,0.342105263,0.078947368
Welcome Home Roscoe Je,13080100,0.096153846,0.096153846,0.134615385,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846
Lady in the Water,13140100,0.045045045,0.081081081,0.081081081,0.468468468,0.063063063,0.045045045,0.054054054,0.054054054,0.054054054,0.054054054
Drag Me To Hell,13190100,0.049295775,0.049295775,0.373239437,0.042253521,0.042253521,0.035211268,0.035211268,0.253521127,0.049295775,0.070422535
Meet the Browns,13250100,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.117647059,0.098039216
Nights in Rodanthe,13280100,0.094339623,0.094339623,0.094339623,0.113207547,0.094339623,0.094339623,0.113207547,0.113207547,0.094339623,0.094339623
Aliens vs. Predator -,13340100,0.064935065,0.12987013,0.064935065,0.103896104,0.233766234,0.077922078,0.064935065,0.103896104,0.090909091,0.064935065
The Hills Have Eyes,13350100,0.066666667,0.166666667,0.055555556,0.144444444,0.055555556,0.055555556,0.222222222,0.122222222,0.055555556,0.055555556
Orphan,13480100,0.173333333,0.093333333,0.146666667,0.093333333,0.066666667,0.066666667,0.066666667,0.12,0.066666667,0.106666667
John Tucker Must Die,13590100,0.086206897,0.086206897,0.086206897,0.086206897,0.103448276,0.086206897,0.103448276,0.103448276,0.086206897,0.172413793
Max Payne,13720100,0.054347826,0.173913043,0.065217391,0.260869565,0.054347826,0.054347826,0.054347826,0.108695652,0.065217391,0.108695652
Duplicity,13770100,0.092307692,0.076923077,0.107692308,0.076923077,0.076923077,0.076923077,0.076923077,0.092307692,0.246153846,0.076923077
Stranger Than Fiction,13800100,0.025751073,0.012875536,0.025751073,0.042918455,0.012875536,0.791845494,0.010729614,0.017167382,0.049356223,0.010729614
The Water Horse: Legen,13820100,0.087719298,0.122807018,0.105263158,0.122807018,0.105263158,0.087719298,0.087719298,0.087719298,0.105263158,0.087719298
Righteous Kill,13980100,0.086206897,0.086206897,0.086206897,0.155172414,0.086206897,0.086206897,0.086206897,0.120689655,0.120689655,0.086206897
The Illusionist,14070100,0.311170213,0.034574468,0.428191489,0.125,0.018617021,0.013297872,0.018617021,0.013297872,0.02393617,0.013297872
Epic Movie,14120100,0.066666667,0.186666667,0.066666667,0.08,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.266666667
Hitman,14150100,0.078947368,0.302631579,0.065789474,0.065789474,0.078947368,0.065789474,0.078947368,0.092105263,0.078947368,0.092105263
Body of Lies,14240100,0.04587156,0.28440367,0.04587156,0.04587156,0.055045872,0.04587156,0.04587156,0.04587156,0.339449541,0.04587156
Lakeview Terrace,14290100,0.137931034,0.086206897,0.086206897,0.120689655,0.086206897,0.086206897,0.103448276,0.086206897,0.120689655,0.086206897
Fracture,14420100,0.258064516,0.120967742,0.040322581,0.064516129,0.056451613,0.185483871,0.064516129,0.048387097,0.112903226,0.048387097
Stardust,14500100,0.057441253,0.015665796,0.026109661,0.751958225,0.018276762,0.028720627,0.018276762,0.015665796,0.018276762,0.049608355
Gridiron Gang,14570100,0.086206897,0.103448276,0.103448276,0.086206897,0.086206897,0.086206897,0.103448276,0.086206897,0.172413793,0.086206897
Last Holiday,14590100,0.086206897,0.103448276,0.137931034,0.103448276,0.086206897,0.086206897,0.086206897,0.086206897,0.137931034,0.086206897
Meet the Spartans,14650100,0.075757576,0.257575758,0.075757576,0.075757576,0.075757576,0.075757576,0.075757576,0.075757576,0.075757576,0.136363636
First Sunday,14860100,0.098039216,0.098039216,0.117647059,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216
The Secret Life of Bee,14980100,0.086206897,0.086206897,0.120689655,0.120689655,0.086206897,0.086206897,0.086206897,0.103448276,0.120689655,0.103448276
The Nativity Story,15040100,0.093333333,0.066666667,0.08,0.093333333,0.066666667,0.066666667,0.106666667,0.253333333,0.08,0.093333333
Man of the Year,15130100,0.073529412,0.117647059,0.073529412,0.088235294,0.088235294,0.073529412,0.073529412,0.073529412,0.132352941,0.205882353
The Wild,15160100,0.089285714,0.107142857,0.178571429,0.089285714,0.089285714,0.089285714,0.089285714,0.089285714,0.089285714,0.089285714
State of Play,15290100,0.05,0.233333333,0.041666667,0.041666667,0.041666667,0.041666667,0.05,0.058333333,0.391666667,0.05
Notorious,15360100,0.092592593,0.092592593,0.092592593,0.092592593,0.092592593,0.111111111,0.111111111,0.092592593,0.12962963,0.092592593
The Brave One,15390100,0.072463768,0.101449275,0.072463768,0.101449275,0.086956522,0.130434783,0.130434783,0.086956522,0.115942029,0.101449275
The Heartbreak Kid,15400100,0.086206897,0.086206897,0.086206897,0.103448276,0.086206897,0.086206897,0.103448276,0.086206897,0.086206897,0.189655172
Freedom Writers,15510100,0.0875,0.125,0.0625,0.1375,0.0625,0.1,0.075,0.125,0.1125,0.1125
Accepted,15520100,0.071428571,0.1,0.085714286,0.071428571,0.071428571,0.085714286,0.085714286,0.071428571,0.1,0.257142857
Death Race,15620100,0.069444444,0.291666667,0.069444444,0.125,0.069444444,0.097222222,0.069444444,0.069444444,0.069444444,0.069444444
The Sentinel,15670100,0.078125,0.265625,0.078125,0.09375,0.078125,0.078125,0.078125,0.078125,0.09375,0.078125
The Pink Panther 2,15820100,0.109090909,0.090909091,0.090909091,0.109090909,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.145454545
Smokin' Aces,15920100,0.14953271,0.074766355,0.046728972,0.112149533,0.046728972,0.112149533,0.177570093,0.065420561,0.093457944,0.121495327
Cloudy with a Chance o (2009),15990100,0.067226891,0.042016807,0.445378151,0.075630252,0.050420168,0.067226891,0.042016807,0.042016807,0.042016807,0.12605042
The Messengers,16040100,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.145454545,0.109090909,0.109090909
The Number 23,16120100,0.25,0.112068966,0.043103448,0.060344828,0.043103448,0.060344828,0.051724138,0.051724138,0.275862069,0.051724138
Star Wars: The Clone W,16150100,0.063291139,0.063291139,0.139240506,0.17721519,0.227848101,0.075949367,0.063291139,0.063291139,0.063291139,0.063291139
Deck the Halls,16190100,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.096153846,0.134615385,0.096153846,0.096153846
Good Luck Chuck,16220100,0.080645161,0.080645161,0.080645161,0.080645161,0.080645161,0.080645161,0.258064516,0.080645161,0.080645161,0.096774194
Take the Lead,16320100,0.088235294,0.073529412,0.088235294,0.161764706,0.073529412,0.073529412,0.073529412,0.073529412,0.191176471,0.102941176
Babel,16570100,0.030120482,0.042168675,0.042168675,0.042168675,0.096385542,0.036144578,0.222891566,0.042168675,0.307228916,0.138554217
Snakes on a Plane,16690100,0.057471264,0.068965517,0.08045977,0.068965517,0.068965517,0.068965517,0.206896552,0.195402299,0.057471264,0.126436782
She's the Man,16720100,0.075757576,0.075757576,0.090909091,0.090909091,0.075757576,0.075757576,0.075757576,0.075757576,0.090909091,0.272727273
Flags of Our Fathers,16830100,0.056179775,0.06741573,0.06741573,0.06741573,0.06741573,0.056179775,0.202247191,0.06741573,0.292134831,0.056179775
Semi-Pro,16900100,0.080645161,0.080645161,0.096774194,0.129032258,0.080645161,0.161290323,0.080645161,0.080645161,0.129032258,0.080645161
Mr. Bean's Holiday,17000100,0.070422535,0.126760563,0.281690141,0.070422535,0.070422535,0.070422535,0.070422535,0.070422535,0.070422535,0.098591549
Zodiac,17120100,0.343195266,0.032544379,0.014792899,0.159763314,0.014792899,0.097633136,0.026627219,0.014792899,0.281065089,0.014792899
Breach,17130100,0.081395349,0.186046512,0.058139535,0.081395349,0.058139535,0.069767442,0.093023256,0.11627907,0.197674419,0.058139535
Balls of Fury,17240100,0.096774194,0.129032258,0.080645161,0.096774194,0.080645161,0.096774194,0.080645161,0.080645161,0.096774194,0.161290323
Drillbit Taylor,17270100,0.089285714,0.089285714,0.089285714,0.160714286,0.089285714,0.089285714,0.089285714,0.089285714,0.089285714,0.125
The Last House on the,17320100,0.072463768,0.15942029,0.072463768,0.15942029,0.072463768,0.072463768,0.173913043,0.072463768,0.072463768,0.072463768
"Definitely, Maybe",17590100,0.04,0.048,0.152,0.04,0.04,0.048,0.04,0.08,0.424,0.088
The Love Guru,17610100,0.092592593,0.111111111,0.092592593,0.092592593,0.092592593,0.092592593,0.12962963,0.092592593,0.092592593,0.111111111
Mr. Magorium's Wonder,17690100,0.053191489,0.053191489,0.138297872,0.223404255,0.053191489,0.127659574,0.063829787,0.053191489,0.170212766,0.063829787
Push,17870100,0.125,0.34375,0.052083333,0.072916667,0.083333333,0.104166667,0.052083333,0.0625,0.052083333,0.052083333
The Soloist,17920100,0.096774194,0.096774194,0.096774194,0.080645161,0.096774194,0.112903226,0.14516129,0.096774194,0.096774194,0.080645161
Transporter 3,17930100,0.054945055,0.450549451,0.065934066,0.054945055,0.087912088,0.054945055,0.065934066,0.054945055,0.054945055,0.054945055
Quarantine,17940100,0.066666667,0.093333333,0.066666667,0.093333333,0.16,0.066666667,0.066666667,0.226666667,0.093333333,0.066666667
August Rush,17980100,0.106666667,0.066666667,0.106666667,0.066666667,0.12,0.08,0.08,0.066666667,0.213333333,0.093333333
United 93,18030100,0.058252427,0.067961165,0.048543689,0.077669903,0.048543689,0.048543689,0.058252427,0.067961165,0.45631068,0.067961165
Nick and Norah's Infin,18090100,0.089108911,0.04950495,0.089108911,0.059405941,0.04950495,0.188118812,0.099009901,0.079207921,0.108910891,0.188118812
Halloween 2,18100100,0.103448276,0.103448276,0.103448276,0.086206897,0.103448276,0.086206897,0.120689655,0.120689655,0.086206897,0.086206897
The Eye,18120100,0.086206897,0.086206897,0.086206897,0.155172414,0.086206897,0.086206897,0.103448276,0.120689655,0.086206897,0.103448276
Leatherheads,18140100,0.074626866,0.074626866,0.089552239,0.089552239,0.074626866,0.074626866,0.089552239,0.074626866,0.208955224,0.149253731
Daddy's Little Girls,18160100,0.096153846,0.096153846,0.096153846,0.115384615,0.096153846,0.096153846,0.096153846,0.096153846,0.115384615,0.096153846
Mirrors,18440100,0.071428571,0.157142857,0.071428571,0.071428571,0.071428571,0.071428571,0.128571429,0.171428571,0.071428571,0.114285714
The Great Debaters,18640100,0.073529412,0.088235294,0.102941176,0.088235294,0.088235294,0.073529412,0.088235294,0.073529412,0.235294118,0.088235294
Space Chimps,18730100,0.092592593,0.111111111,0.12962963,0.092592593,0.111111111,0.092592593,0.092592593,0.092592593,0.092592593,0.092592593
The Bank Job,18780100,0.054054054,0.171171171,0.054054054,0.072072072,0.054054054,0.054054054,0.045045045,0.045045045,0.405405405,0.045045045
